# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  149       6.017727880383e-10       1.514664499363e-13      -6.335068844885e-12       9.091781243708e-16       3.257363961597e-12       6.142875697137e-13      -3.893458717733e-15 
  150       6.063277249424e-10       1.508443471926e-13      -6.341745101515e-12       9.225464641916e-16       3.194838803049e-12       6.055761468910e-13      -3.841022525893e-15 
  151       6.108569856002e-10       1.501621312464e-13      -6.345116718770e-12       9.360421179076e-16       3.133899332593e-12       5.970932672501e-13      -3.790177224468e-15 
  152       6.153592721439e-10       1.494211064838e-13      -6.345140749399e-12       9.496655620148e-16       3.074516059454e-12       5.888281792870e-13      -3.740673291091e-15 
  153       6.198332449092e-10       1.486226874501e-13      -6.341775873276e-12       9.634172584813e-16       3.016652948118e-12       5.807688205502e-13      -3.692243202409e-15 
  154       6.242775216291e-10       1.477684006751e-13      -6.334982439207e-12       9.772976543821e-16       2.960267276126e-12       5.729017908737e-13      -3.644601105479e-15 
  155       6.286906766279e-10       1.468598864971e-13      -6.324722506745e-12       9.913071815351e-16       2.905309491873e-12       5.652123256111e-13      -3.597442489168e-15 
  156       6.330712400153e-10       1.458989008872e-13      -6.310959887998e-12       1.005446256136e-15       2.851723072409e-12       5.576842688685e-13      -3.550443855555e-15 
  157       6.374176968803e-10       1.448873172742e-13      -6.293660189439e-12       1.019715278393e-15       2.799444381236e-12       5.503000467384e-13      -3.503262391331e-15 
  158       6.417284864849e-10       1.438271283687e-13      -6.272790853717e-12       1.034114632165e-15       2.748402526107e-12       5.430406405327e-13      -3.455535639199e-15 
  159       6.460020014587e-10       1.427204479876e-13      -6.248321201470e-12       1.048644684592e-15       2.698519216826e-12       5.358855600165e-13      -3.406881169273e-15 
  160       6.502365869921e-10       1.415695128785e-13      -6.220222473129e-12       1.063305785734e-15       2.649708623045e-12       5.288128166417e-13      -3.356896250481e-15 
  161       6.544306534083e-10       1.403766331712e-13      -6.188467716095e-12       1.078098230961e-15       2.601894942092e-12       5.218036236269e-13      -3.305245761235e-15 
